tweet_id,text,fairness,non-moral,purity,degradation,loyalty,care,cheating,betrayal,subversion,authority,harm
734202176684298240,the truth hurts to lairs israel united in christ endanargument inwords black twitter black lives matter empire christian bible,0,0,0,0,0,0,1,0,0,0,1
705081286277406720,proof that is a liar and a fraud white genocide black lives matter,0,0,0,0,0,0,1,0,0,0,0
543910168871063552,syrian solidarity syria i ca not breathe black lives matter ferguson millions march nyc ya me canse isis justice all,0,0,0,0,1,0,0,0,0,0,0
753654232591527936,christina milian tweets all lives matter catches chaos in her mentions photos,0,0,0,0,0,0,0,0,1,0,0
652261807155888128,nothing but terroristic racist thugs black lives matter all lives matter thugs,0,0,0,0,0,0,1,0,0,0,1
587680245857288194,the unjust murder of eric harris black lives matter,0,0,0,0,0,0,1,0,0,0,1
542066372792971264,talking about injustice shouldn t upset you the injustice should black lives matter,0,0,0,0,0,0,1,0,0,0,0
599374451080298496,do we have to obey an unjust law black lives matter ml king,0,0,0,0,0,0,1,0,0,0,0
593996331930275840,blatant racism in colorado black lives matter,0,0,0,0,0,0,1,0,0,0,1
656641136015089664,our uu values of love compassion call on us to advocate that black lives matter thank you for your passion advocacy,0,0,0,0,1,1,0,0,0,0,0
629481363490611200,the blatant disrespect they gave black lives matter and the police brutality that runs rampant in this country is disgusting,0,0,0,0,0,0,0,0,0,0,1
543792690144743424,show a little compassion when coming to a march about justice and racism black lives matter justice all,1,0,0,0,0,1,0,0,0,0,0
533571260920233984,white fear racism promotes dehumanization on all levels historic psychological social etc solidarity black lives matter ferguson,0,0,0,0,1,0,0,0,0,0,1
753448428495998977,black lives matter is anarchy it not protesting,0,0,0,0,0,0,0,0,1,0,0
670358113883680768,these brave men saves lives all over the world they do not march for hates all livesmatter thank you veterans,0,0,0,0,0,1,0,0,0,0,0
669939751231754240,solidarity with black lives matter national day of mourning no thanks no giving,0,0,0,0,1,0,0,0,0,0,0
596032530530344960,who can not stand someone saying black lives matter racists absolute dehumanizing desecration,0,0,0,0,0,0,1,0,0,0,1
537257606247878656,and liberty and justice for all yeah right ferguson black lives matter michael brown,1,0,0,0,0,0,0,0,0,0,0
754670963648704512,blacks being used by islamic arabs mortal hatred and enslavement of the black race black lives matter p vi liberals,0,0,0,0,0,0,0,0,0,0,1
592845949552238594,solidarity with baltimore black lives matter,0,0,0,0,1,0,0,0,0,0,0
750096825223356417,blm pride to disgusting pre planned betrayal,0,0,0,1,0,0,0,1,0,0,0
662353523393339392,yo black lives matter georgia state trooper nathan bradley nuff said you losers,0,1,0,0,0,0,0,0,0,0,0
689123877352554496,honoring the life legacy spirit of dr king on this sacred day mlk day day on not off let freedom ring black lives matter,0,0,1,0,0,0,0,0,0,0,0
714106850002636800,stop the lies stop saying police do not use excessive force it is an abusive horrific insult to those assaulted killed black lives matter,0,0,0,0,0,0,1,0,0,0,1
537089335724875777,in solidarity black lives matter ferguson,0,0,0,0,1,0,0,0,0,0,0
550210079795183616,class is now in session premiere black lives matter fucking thank you for this trè,0,1,0,0,0,0,0,0,0,0,0
592837418845372416,praying for peaceful protest in baltimore tonight violence and looting can not incite positive change freddie gray black lives matter,0,0,0,0,0,1,0,0,0,0,0
564138750507110401,learn civil disobedience and how effective it is lgbtq ferguson black lives matter cc,0,0,0,0,0,0,0,0,1,0,0
676512912299585537,indigenous solidarity with black lives matter,0,0,0,0,1,0,0,0,0,0,0
751176459679625216,what happen to their compassion and training smh black lives matter all lives matter help,0,0,0,0,0,1,0,0,0,0,0
540664303561764864,the difference between equality and equity is justice black lives matter i ca not breathe this stops today rally,1,0,0,0,0,0,0,0,0,0,0
662417978357600256,thug gliniewicz black lives matter another wannabe hero exposed as the true lying thieving coward that he really was gliniewicz smh,0,0,0,0,0,0,1,0,0,0,0
